Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Jun,Park Junhee,박준희,준,6/2/1994,A.C.E,South Korea,Jeolla,,M
Jun H.,Im Joonhyun,임준현,준현,8/28/1991,UNVS,South Korea,,,M
Jun. K,Kim Minjun,김민준,준케이,1/15/1988,2PM,South Korea,Daegu,,M
Jungah,Kim Jungah,김정아,정아,8/2/1983,,South Korea,Incheon,,F
Junghoon,Lee Junghoon,이정훈,정훈,7/4/2000,1TEAM,South Korea,,,M
Junghun,Jang Junghun,장정훈,정훈,2/27/1999,Astin,South Korea,,,M
Junghwa,Park Junghwa,박정화,정화,5/8/1995,EXID,South Korea,Anyang,,F
Jungkook,Jeon Jungkook,전정국,정국,9/1/1997,BTS,South Korea,Busan,,M
Jungmo,Koo Jungmo,구정모,정모,2/5/2000,CRAVITY,South Korea,,,M
Jungshin,Lee Jungshin,이정신,정신,9/15/1991,CNBLUE,South Korea,,,M
Jungwoo,Kim Jungwoo,김정우,정우,2/19/1998,NCT,South Korea,,,M
Jungwoo,Uhm Jungwoo,엄정우,정우,4/2/1999,BVNDIT,South Korea,,,F
Junho,Lee Junho,이준호,준호,1/25/1990,2PM,South Korea,Ilsan,,M
Junho,Cha Junho,차준호,준호,7/9/2002,X1,South Korea,,,M
Junhyeok,Kim Junhyeok,임준혁,준혁,7/17/1993,,South Korea,,,M
Junhyuk,Choi Junhyuk,최준혁,준혁,4/21/1992,HOTSHOT,South Korea,Ulsan,,M
Yong Junhyung,Yong Junyung,용준형,준형,12/19/1989,Highlight,South Korea,Seoul,,M
Junji,Kim Junhyung,김준형,준지,4/6/1998,OnlyOneOf,South Korea,,,M
Junkyu,Kim Junkyu,김준규,준규,9/9/2000,Treasure,South Korea,,,M
JunQ,Kang Junkyu,강준규,준규,8/9/1993,MYNAME,South Korea,Uljeongbu,,M
Junseo,Kim Junseo,김준서,준서,11/20/2001,1the9,South Korea,Ulsan,,M
Junwook,Kim Junwook,김준욱,준욱,1/10/2002,TheEastLight,South Korea,,,M
Junyoung,Lee Junyoung,이준영,준영,9/23/2000,IZ,South Korea,,,M
Juri,Takahashi Juri,타카하시 쥬리,쥬리,10/3/1997,Rocket Punch,Japan,,,F
Juyeon,Lee Juyeon,이주연,주연,1/16/1998,The Boyz,South Korea,,,M
K.Me,Na Miri,나미리,케이미,4/10/1992,BADKIZ,South Korea,Yeosu,,F
Kady,Gu Dokyoung,구도경,케이디,4/7/1995,Gate9,South Korea,Busan,,F
Kaeun,Lee Kaeun,이가은,가은,8/20/1994,After School,South Korea,Seoul,,F
Kahi,Park Jiyoung,박지영,가희,12/25/1980,,South Korea,Daegu,,F
Kai,Kim Jongin,김종인,카이,1/14/1994,EXO,South Korea,Suncheon,SuperM,M
Kain,Bang Junho,방준호,카인,3/25/1997,ARGON,South Korea,,,M
Kanghyun,Kang Hyungu,강현구,강현,11/24/1998,Onewe,South Korea,,,M
Kangin,Kim Youngwoon,김영운,강인,1/17/1985,,South Korea,Seoul,,M
Kangmin,Kim Kangmin,김강민,강민,11/13/2001,TRCNG,South Korea,,,M
Kangmin,Noh Kangmin,노강민,강민,9/5/1999,Romeo,South Korea,,,M
Kangmin,Yoo Kangmin,유강민,강민,1/25/2003,Verivery,South Korea,,,M
Karin,Min Karin,민가린,가린,1/5/2002,ELRIS,South Korea,,,F
Karin,Baek Yerin,백예린,카린,4/23/2000,CRAXY,South Korea,,,F
KB,Shin Kyubin,신규빈,규빈,4/23/1994,OnlyOneOf,South Korea,,,M
Kei,Kim Jiyeon,김지연,케이,3/20/1995,Lovelyz,South Korea,Incheon,,F
Keina,Lee Yoona,이유나,케이나,2/12/1999,H.U.B,South Korea,,,F
Ken,Lee Jaehwan,이재환,켄,4/6/1992,VIXX,South Korea,Seoul,,M
Kenta,Takada Kenta,타카다 켄타,켄타,1/10/1995,JBJ,Japan,Fujioka,,M
Keonhee,Lee Keonhee,김건희,건희,6/27/1998,Oneus,South Korea,,,M
Keumjo,Lee Keumjo,이금조,금조,12/17/1992,9Muses,South Korea,Daegu,9MUSES A,F
Kevin,Christopher Woo,크리스토퍼 우,케빈,11/25/1991,U-KISS,USA,Los Angeles,,M
Kevin,Kevin Jiyeop Kim,케빈 지엽 킴,케빈,2/23/1988,ZE:A,South Korea,Sydney,,M
Kevin,Moon Hyungseo,문형서,케빈,2/23/1998,The Boyz,Canada,,,M
Key,Kim Kibum,김기범,키,9/23/1991,SHINee,South Korea,Daegu,Toheart,M
Kiara,Baek Jinjoo,백진주,키아라,8/20/1998,,South Korea,,,F
Kibum,Kim Kibum,김기범,기범,8/21/1987,,South Korea,Seoul,,M
Kichun,Hwang Kichun,황기천,기천,3/14/1992,,South Korea,,,M
Kid,Kim Junhoe,김준회,키드,10/26/1995,VARSITY,South Korea,,,M
Kidoh,Jin Hyosang,진효상,키도,12/16/1992,,South Korea,Seoul,,M
Kihyun,Yoo Kihyun,유기현,기현,11/22/1993,MONSTA X,South Korea,Goyang,,M
Kim Lip,Kim Jungeun,김정은,김립,2/10/1999,LOONA,South Korea,,Loona Odd Eye Circle,F
Kim Sanggyun,Kim Sanggyun,김상균,김상균,5/23/1995,JBJ95,South Korea,Gwangju,JBJ,M
Kim Sohee,Kim Sohee,김소희,김소희,1/20/1995,I.B.I,South Korea,Busan,C.I.V.A,F
Kim Yoon,Kim Seongsu,김성수,김윤,2/17/1994,DUSTIN,South Korea,,,M
Kino,Kang Hyungku,강형구,키노,1/27/1998,PENTAGON,South Korea,,,M
Kiseop,Lee Kiseop,이기섭,기섭,1/17/1991,U-KISS,South Korea,Seongnam,,M
Kisu,Choi Kisu,최기수,기수,10/2/1990,24K,South Korea,Seoul,,M
Kiwon,Lee Kiwon,이기원,기원,6/27/1996,GIDONGDAE,South Korea,,,M
Kokoro,Kato Kokoro,카토 코코로,코코로,11/1/2000,,Japan,,,F
Kongyeol,Go Minsoo,고민수,고결,5/19/1996,UP10TION,South Korea,Bucheon,,M
Kongyoo,Kong Yoojin,공유진,공유,5/11/2001,Bonus Baby,South Korea,,,F
Kookheon,Kim Kookheon,김국헌,국헌,4/15/1997,B.O.Y,South Korea,,,M
Kriesha Chu,Kriesha Ziskind Teo Tiu,크리샤 지스킨드 테오 티우,크리샤 츄,12/20/1998,,Philippines,Cebu,,F
Kris,Wu Yifan,오역범,크리스,11/6/1990,,Canada,Guangzhou,,M
Krystal,Krystal Jung,크리스탈 정,크리스탈,10/24/1994,f(x),South Korea,San Francisco,,F
Kuhn,Noh Sooil,노수일,쿤,11/11/1995,UP10TION,South Korea,Ansan,,M
Kun,Qian Kun,첸쿤,쿤,1/1/1996,NCT,China,,,M
Kwanghee,Hwang Kwanghee,황광희,광희,8/25/1988,ZE:A,South Korea,Paju,,M
Kwangjin,Kwon Kwangjin,권광진,광진,8/12/1992,N.Flying,South Korea,Seoul,,M
Kwangmin,Jo Kwangmin,조광민,광민,4/24/1995,Boyfriend,South Korea,Anyang,,M
Kyeongheon,Yoon Kyeongheon,윤경헌,경헌,1/6/1998,We In The Zone,South Korea,Suncheon,,M
Kyla,Kyla Massie,카일라 매시,카일라,12/26/2001,Pristin,USA,California,,F
Kyle,Ma Jaekyung,마재경,카일,1/15/1997,Romeo,South Korea,,,M
Kyuhwan,Lee Kyuhwan,이규환,규환,9/18/1994,SIGNAL,South Korea,,,M
Kyuhyuk,Shim Kyuhyuk,심규혁,규혁,1/11/1995,Hot Blood Youth,South Korea,,,M
Kyuhyun,Cho Kyuhyun,조규현,규현,2/3/1988,Super Junior,South Korea,Seoul,Super Junior-M,M
Kyulkyung,Zhou Jieqiong,저우제충,결경,12/16/1998,Pristin,China,Taizhou,"I.O.I, Pristin V",F
Kyungho,Jang Kyungho,장경호,경호,5/7/2001,TOO,South Korea,,,M
Kyungil,Song Kyungil,송경일,경일,11/28/1987,HISTORY,South Korea,,,M
Kyungri,Park Kyungri,박경리,경리,7/5/1990,9Muses,South Korea,Busan,9MUSES A,F
Kyungyoon,Lee Kyungyoon,이경윤,경윤,2/21/2000,Dongkiz,South Korea,,,M
L,Kim Myungsoo,김명수,엘,3/13/1992,Infinite,South Korea,Seoul,Infinite F,M
L.Joe,Lee Byunghun,이병헌,엘조,11/23/1993,Teen Top,South Korea,Gunsan,,M
Lai Kuanlin,Lai Kuanlin,라이관린,라이관린,9/23/2001,Wanna One,Taiwan,New Taipei,,M
Laon,Shin Kyuhyun,신규현,라온,12/19/1995,ENOi,South Korea,,,M
Lara,Moon Shinae,문신애,라라,8/9/2000,Dreamnote,South Korea,,,F
Laun,Kim Minseok,김민석,라운,8/12/1999,,South Korea,Seongsan,,M
Lay,Zhang Yixing,장이씽,레이,10/7/1991,EXO,China,Changsa,,M
Layeon,Lee Jimin,이지민,라연,8/13/1998,Purplebeck,South Korea,,,F
LE,Ahn Hyejin,안효진,엘리,12/10/1991,EXID,South Korea,Cheonan,,F
Lea,Ogawa Mizuki,오가와 미즈키,레아,8/12/1995,SECRET NUMBER,Japan,Tokyo,,F
Lee Haein,Lee Haein,이해인,이해인,7/4/1992,I.B.I,South Korea,Changwon,,F
Lee Hoo,Moon Junyoung,문준영,,2/9/1989,ZE:A,South Korea,Seoul,,M
Lee Joon,Lee Changseon,이창선,이준,2/7/1988,,South Korea,Seoul,,M
Lee Know,Lee Minho,이민호,리노,10/25/1998,Stray Kids,South Korea,Gimpo,,M
Lee Suhyun,Lee Suhyun,이수현,이수현,11/5/1996,I.B.I,South Korea,Ansan,,F
Leedo,Kim Geonhak,김건학,이도,7/26/1997,Oneus,South Korea,,,M
Leeteuk,Park Jeongsu,박정수,이특,7/1/1983,Super Junior,South Korea,Seoul,,M
Lena,Kang Rena,강레나,레나,4/17/2002,GWSN,South Korea,,,F
Leo,Jung Taekwon,정택운,레오,11/10/1990,VIXX,South Korea,Seoul,VIXX LR,M
Lex,Jeon Hyungmin,전형민,렉스,1/12/1993,Bigflo,South Korea,,,M
Lia,Choi Jisu,최지수,리아,7/21/2000,ITZY,South Korea,,,F
Lime,Kim Hyerim,김혜림,라임,1/19/1993,Hello Venus,South Korea,,,F
Lin Lin,Huang Ziting,황자정,린린,7/5/2003,,Taiwan,,,F
Lina,Oh Sejin,오세진,리나,7/27/1997,ANS,South Korea,,,F
Lina,Oh Hyesoo,오혜수,리나,5/23/1997,RedSquare,South Korea,,,F
Linzy,Im Minji,임민지,린지,10/22/1989,Fiestar,South Korea,Incheon,,F
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,3/27/1997,BLACKPINK,Thailand,Bangkok,,F
Liyah,Moon Liya,문리야,리야,5/11/2000,MIXX,South Korea,,,F
Lizzy,Park Sooyoung,박수영,리지,7/31/1992,After School,South Korea,Busan,Orange Caramel,F
Loha,Kang Yejin,강예진,로하,12/27/2001,Nature,South Korea,,,F
Longguo,Jin Longguo,진룽궈,룽궈,3/2/1996,JBJ,China,Heilong,,M
Lou,Kim Hosung,김호성,로우,12/21/1996,VAV,South Korea,,,M
Loudi,Won Jihoon,원지훈,로우디,4/13/1996,14U,Indonesia,,,M
Love,Park Jisung,박지성,러브,1/17/1994,OnlyOneOf,South Korea,,,M
Lu,Im Hayoung,임하영,루,12/3/1997,NATURE,South Korea,,,F
LuA,Jo Hankyeung,조한경,루아,9/14/1991,BADKIZ,South Korea,Busan,,F
Lua,Kim Sookyung,김수경,루아,10/6/2000,Weki Meki,South Korea,,,F
Lucas,Wong Junghei,웡육헤이,루카스,1/25/1999,NCT,Hong Kong,,SuperM,M
Lucy,Noh Hyojung,노효정,루시,8/31/2002,Weki Meki,South Korea,Goyang,,F
Lucy,Kim Daeun,김대은,루시,4/9/2004,woo!ah!,South Korea,,,F
Luda,Lee Luda,이루다,루다,3/6/1997,Cosmic Girls,South Korea,Seoul,WJMK,F
Luha,Lee Gyeonghun,이경훈,루하,2/15/1993,14U,South Korea,,,M
Luhan,Lu Han,루한,루한,4/20/1990,,China,Haidian,,M
Luna,Park Sunyoung,박선영,루나,8/12/1993,f(x),South Korea,Seoul,,F
Manny,Syo Dongchun,쇼동청,만니,11/17/2001,VARSITY,China,,,M
Marco,Lee Hyunggeun,이형근,마르코,5/11/1994,Hot Blood Youth,South Korea,,,M
Mark,Mark Lee,마크 리,마크,8/2/1999,NCT,Canada,Vancouver,"NCT U, NCT 127, NCT Dream, SuperM",M
Mark,Mark Yien Tuan,마크 이엔 투안,마크,9/4/1993,GOT7,USA,Los Angeles,,M
Mashiho,Takata Mashiho,타카타 마시호,마시호,3/25/2001,Treasure,Japan,,,M
Max Changmin,Shin Changmin,심창민,최강창민,2/18/1988,TVXQ,South Korea,Seoul,,M
May,Jeong Chaeyoung,정채영,메이,7/27/2001,NeonPunch,South Korea,,,F
May,Hirokawa Mao,히로카와 마오,메이,11/16/2004,Cherry Bullet,Japan,,,F
Medic Jin,Bae Yujin,배유진,메딕진,8/8/1996,Girlkind,South Korea,,,F
Meiqi,Meng Meiqi,멍메이치,미기,10/15/1998,Cosmic Girls,China,Luoyang,,F
Mia,Son Hyunmi,손현미,미아,12/31/1997,MIXX,South Korea,,,F
Mia,Han Eunji,한은지,미아,1/13/2000,Everglow,South Korea,,,F
Mijoo,Lee Mijoo,이미주,미주,9/23/1994,Lovelyz,South Korea,Okcheon,,F
Miko,Matsuda Miko,마츠다 미코,미코,10/28/1995,Honey Popcorn,Japan,,,F
Mill,Lee Yongsoo,이용수,밀,3/30/1999,OnlyOneOf,South Korea,,,M
Milo,Kim Minhak,김민학,마일로,8/20/1996,Romeo,South Korea,,,M
Mimi,Jung Mimi,정미미,미미,1/1/1993,Gugudan,South Korea,,,F
Mimi,Kim Mihyun,김미현,미미,5/1/1995,Oh My Girl,South Korea,Jeju,,F
Min,Lee Minyoung,이민영,민,6/21/1991,miss A,South Korea,Seoul,,F
Min,Lee Mincheon,이민천,민,10/16/1997,We In The Zone,South Korea,Seoul,,M
Mina,Kwon Mina,권민아,민아,9/21/1993,,South Korea,Busan,,F
Mina,Myoui Mina,묘이 미나,미나,3/24/1997,Twice,Japan,San Antonio,,F
Mina,Kang Mina,강미나,미나,12/4/1999,Gugudan,South Korea,Icheon,Gugudan Oguogu,F
Minah,Bang Minah,방민아,민아,5/13/1993,Girl's Day,South Korea,Incheon,,F
Minchan,Hong Minchan,홍민찬,민찬,9/16/1998,Verivery,South Korea,,,M
Mingi,Son Mingi,송민기,민기,8/9/1999,ATEEZ,South Korea,,,M
Mingyu,Kim Mingyu,김민규,민규,4/6/1997,Seventeen,South Korea,Anyang,,M
Minha,Park Minha,박민하,민하,6/27/1991,,South Korea,Seoul,,F
Minhee,Joo Minhee,주민희,민희,1/3/1993,Stellar,South Korea,Seoul,,F
Minhee,Kang Minhee,강민희,민희,9/17/2002,X1,South Korea,,,M
Minhee,Kang Minhee,강민희,민희,9/17/2002,CRAVITY,South Korea,,,M
Minho,Choi Minho,최민호,민호,12/9/1991,SHINee,South Korea,Incheon,,M
Minhwan,Choi Minhwan,최민환,민환,9/11/1992,FTISLAND,South Korea,Seoul,,M
HUTA,Lee Minhyuk,이민혁,민혁,11/29/1990,BtoB,South Korea,Seoul,,M
Minhyuk,Lee Minhyuk,이민혁,민혁,11/3/1993,MONSTA X,South Korea,,,M
Minhyuk,Kang Minhyuk,강민혁,민혁,6/28/1991,CNBLUE,South Korea,Ilsan,,M
Minhyuk,Kim Minhyuk,김민혁,민혁,11/6/1999,D-CRUNCH,South Korea,,,M
Minhyun,Hwang Minhyun,황민현,민현,8/9/1995,NU'EST,South Korea,Busan,NU'EST,M
Mini,,,민이,6/12/2000,Purplebeck,South Korea,,,F
Minjae,Seong Minjae,성민재,민재,12/18/1994,Sonamoo,South Korea,Busan,,F
Minjae,Shin Minjae,신민재,민재,8/13/1991,Tahiti,South Korea,Busan,,F
Minjae,Jo Minjae,조민재,민재,8/8/1994,Spectrum,South Korea,,,M
Minjae,Song Minjae,송민재,민재,8/23/2003,MCND,South Korea,,,M
Minji,Kim Minji,김민지,민지,1/16/2001,Busters,South Korea,,,F
Minjoo,Kim Minjoo,김민주,민주,2/5/2001,IZ*ONE,South Korea,Seoul,,F
Minju,Kang Minjoo,강민주,민주,3/11/2001,GWSN,South Korea,,,F
Minjung,Cha Minjung,차민정,민정,7/15/2004,,South Korea,,,F
Minkyung,Kang Minkyung,강민경,민경,8/3/1990,Davichi,South Korea,Goyang,,F
Minnie,Nicha Yontararak,니차 욘타라락,민니,10/23/1997,(G)I-DLE,Thailand,,,F
MINO,Song Minho,송민호,민호,3/30/1993,WINNER,South Korea,Yongin,,M
Minpyo,Gook Minpyo,국민표,민표,11/15/1994,B.I.G,South Korea,Gwangju,,M
Minseo,Kim Minseo,김민서,민서,8/12/2004,woo!ah!,South Korea,,,F
Minsu,Park Minsu,김민수,민수,4/15/1993,Boys Republic,South Korea,Gwangju,,M
Minsu,Kim Minsu,김민수,민수,3/20/2000,TOO,South Korea,,,M
Minsung,Kim Minhwi,김민휘,민성,12/24/1996,Romeo,South Korea,,,M
Minwoo,No Minwoo,노민우,민우,7/31/1995,Boyfriend,South Korea,Anyang,,M
Minwoo,Ha Minwoo,하민우,민우,9/6/1990,ZE:A,South Korea,Yangsan,,M
Minwoo,Seo Minwoo,서민우,민우,2/8/1985,100%,South Korea,Daegu,,M
Minyoung,Kim Minyeong,김민영,민영,9/12/1990,Brave Girls,South Korea,Seongnam,,F
Minzy,Kong Minji,공민지,민지,1/18/1994,2NE1,South Korea,,,F
Mir,Bang Cheolyong,방철용,미르,3/10/1991,MBLAQ,South Korea,Bukhamyeon,,M
Mir,Lee Yoonsang,이윤상,미르,3/6/2000,Astin,South Korea,,,M
Mirae,Kim Kyungjoo,김경주,미래,3/26/1998,,South Korea,,,F
Miryo,Jo Mihye,조미혜,미료,11/2/1981,Brown Eyed Girls,South Korea,,,F
Miso,Park Miso,박미소,미소,4/4/1991,Tahiti,South Korea,Gwangju,,F
Miso,Park Jihyun,박지현,미소,9/16/1996,P.O.P,South Korea,Busan,,F
Miso,Jeon Jimin,전지민,미소,10/25/2000,Dreamnote,South Korea,,,F
Miya,Miyauchi Haruka,미야우치 하루카,미야,5/26/1993,GWSN,Japan,,,F
Miyeon,Jo Miyeon,조미연,미연,1/31/1997,(G)I-DLE,South Korea,,,F
MJ,Kim Myungjun,김명준,엠제이,3/5/1994,ASTRO,South Korea,Nowon,,M
MK,Park Minkyun,박민균,엠케이,11/16/1995,ONF,South Korea,Ilsan,,M
Moko,Sakura Moko,사쿠라 모코,모코,3/19/1991,Honey Popcorn,Japan,,,F
Momo,Hirai Momo,히라이 모모,모모,11/9/1996,Twice,Japan,Kyoto,,F
Monday,Kim Jimin,김지민,먼데이,5/10/2002,Weeekly,South Korea,,,F
Monika,Kang Yeh,강예,모니카,5/21/1991,BADKIZ,South Korea,Seoul,,F
Moon Bin,Moon Bin,문빈,문빈,1/26/1998,ASTRO,South Korea,Cheongju,,M
Moonbyul,Moon Byulyi,문별이,문별,12/22/1992,Mamamoo,South Korea,Bucheon,,F
Moonhee,Choi Moonhee,최문희,문희,4/15/1997,Bonus Baby,South Korea,,,F
Moonvok,Jang Moonvok,장문복,문복,4/11/1995,Limitless,South Korea,,,M
Munik,Jang Moonik,장문익,문익,3/20/2001,Dongkiz,South Korea,,,M
N,Cha Hakyeon,차학연,엔,6/30/1990,VIXX,South Korea,Changwon,Big Byung,M
Nada,Yoon Yejin,윤예진,나다,5/24/1991,,South Korea,,,F
Naeun,Son Naeun,손나은,나은,2/10/1994,Apink,South Korea,Seoul,,F
Naeun,Lee Naeun,이나은,나은,5/5/1999,APRIL,South Korea,Daejeon,,F
Nahyun,Kim Nahyun,김나현,나현,12/9/1995,Sonamoo,South Korea,Seoul,,F
Nako,Yabuki Nako,야부키 나코,나코,6/18/2001,IZ*ONE,Japan,Tokyo,,F
Nakta,Shin Yooncheol,신윤철,낙타,4/24/1993,,South Korea,Daegu,,M
Nakyung,Lee Nakyung,이나경,나경,6/1/2000,fromis_9,South Korea,Mungyeong,,F
Namjoo,Kim Namjoo,김남주,남주,4/15/1995,Apink,South Korea,Seoul,,F
Nana,Im Jinah,임진아,나나,9/14/1991,After School,South Korea,Cheongju,Orange Caramel,F
Nana,Kwon Nayeon,권나연,우연,3/9/2001,woo!ah!,South Korea,,,F
Nancy,Nancy Mcdonie,낸시 맥다니,낸시,4/13/2000,MOMOLAND,South Korea,Daegu,,F
Nara,Kwon Nara,권나라,나라,3/13/1991,Hello Venus,South Korea,Seongnam,,F
Narachan,Jung Hyunwoo,정현우,나라찬,9/23/1996,MONT,South Korea,,,M
Narae,Park Narae,박나래,나래,2/23/1988,SPICA,South Korea,Incheon,SPICA-S,F
Nari,Kim Nari,김나리,나리,10/5/1992,Wassup,South Korea,,,F
Narsha,Park Hyojin,박효진,나르샤,12/28/1981,Brown Eyed Girls,South Korea,,,F
Nayeon,Im Nayeon,임나연,나연,9/22/1995,Twice,South Korea,Seoul,,F
Nayoung,Kim Nayoung,김나영,나영,11/23/1995,Gugudan,South Korea,,,F
Nayoung,Im Nayoung,임나영,나영,12/18/1995,Pristin,South Korea,Chungcheongham,"I.O.I, Pristin V",F
Nayun,Kim Nayun,김나윤,나윤,7/31/1998,MOMOLAND,South Korea,Seoul,,F
NC.A,Im Soeun,임소은,앤씨아,10/7/1996,UNI.T,South Korea,Osan,,F
New,Choi Chanhee,최찬희,뉴,4/26/1998,The Boyz,South Korea,Jeonju,,M
New Sun,Choi Yoonsun,최윤선,뉴썬,6/19/1997,Sonamoo,South Korea,,,F
Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,6/24/1988,2PM,Thailand,California,,M
Nicole,Nicole Jung,정니콜,니콜,10/7/1991,,South Korea,Los Angeles,,F
Niel,Ahn Daniel,안다니엘,니엘,8/16/1994,Teen Top,South Korea,Anyang,,M
Nine,Jung Wookjin,정욱진,나인,12/13/1999,OnlyOneOf,South Korea,,,M
Noeul,No Eul,노을,노을,5/10/1989,Rainbow,South Korea,Jeonju,,F
O.V,Kim Sanchan,김상찬,오뷔,1/3/1999,D-CRUNCH,South Korea,,,M
Olivia Hye,Son Hyeju,손혜주,올리비아 혜,11/13/2001,LOONA,South Korea,,Loona yyxy,F
Onda,Jo Selim,조세림,온다,5/18/2000,Everglow,South Korea,,,F
Onejunn,Jo Wonjun,조원준,원준,11/22/1988,Boys Republic,South Korea,Changwon,,M
Onew,Lee Jinki,이진기,온유,12/14/1989,SHINee,South Korea,Gwangmyeong,,M
P-Goon,Park Sehyuk,박세혁,피군,10/18/1991,,South Korea,Seoul,,M
P.O,Pyo Jihoon,표지훈,피오,2/2/1993,Block B,South Korea,Seoul,Bastarz,M
Park Kyung,Park Kyung,박경,박경,7/8/1992,Block B,South Korea,Seoul,,M
Peniel (BtoB),Shin Donggeun,신동근,프니엘,3/10/1993,BtoB,South Korea,Chicago,,M
PSY,Park Jaesang,박재상,싸이,12/31/1977,,South Korea,Seoul,,M
Q,Ji Changmin,지창민,큐,11/5/1998,The Boyz,South Korea,,,M
Qri,Lee Jihyun,이지현,큐리,12/12/1986,T-ara,South Korea,Goyang,,F
Rachel,Sung Nayeon,성나연,레이첼,8/28/2000,APRIL,South Korea,,,F
Rain,Jung Jihoon,정지훈,비,6/25/1982,,South Korea,Seosan,,M
Raina,Oh Hyerin,오혜린,레이나,5/7/1989,After School,South Korea,Ulsan,Orange Caramel,F
Raon,Lee Seoyoung,이서영,라온,1/21/2000,ANS,South Korea,,,F
Ravi,Kim Wonsik,김원식,라비,2/15/1993,VIXX,South Korea,Seoul,VIXX LR,M
Ravn,Kim Yoongjo,김영조,레이븐,9/2/1995,Oneus,South Korea,,,M
Raychan,Lee Heechan,이휘찬,레이찬,4/18/1996,Limitless,South Korea,,,M
Red,Lee Heejin,이희진,빨강,7/10/1991,Pungdeng-E,South Korea,Daegu,,F
Remi,Katsuno Rise,카츠노 리세,레미,4/26/2001,Cherry Bullet,Japan,,,F
Ren,Choi Minki,최민기,렌,11/3/1995,NU'EST,South Korea,Busan,NU'EST W,M
Rena,Kang Yebin,강예빈,레나,10/19/1998,Hinapia,South Korea,,Pristin V,F
Renjun,Hwang Renjun,황런쥔,런쥔,3/23/2000,NCT,China,Jilin,NCT Dream,M
Ricky,Yoo Changhyun,유창현,리키,2/27/1995,Teen Top,South Korea,Seoul,,M
Rie,Lee Seungho,이성호,리에,11/6/1996,OnlyOneOf,South Korea,,,M
Riho,Jin Seungwook,진승욱,리호,3/1/1998,VARSITY,South Korea,Incheon,,M
Rina,Kang Soeun,강소은,리나,9/27/2001,Weki Meki,South Korea,,,F
Rio,Son Gwanghyuk,손광혁,리오,7/16/1999,14U,South Korea,,,M
RM,Kim Namjoon,김남준,알엠,9/12/1994,BTS,South Korea,Ilsan,,M
Roa,Kim Minkyung,김민경,로아,7/29/1997,Hinapia,South Korea,,Pristin V,F
Rocky,Park Minhyuk,박민혁,라키,2/25/1999,ASTRO,South Korea,Jinju,,M
Roda,Shin Joongmin,신중민,로다,9/19/1998,MONT,South Korea,,,M
Roel,Kim Sunho,김선호,로엘,2/13/1997,ARGON,South Korea,,,M
Rokhyun,Kim Rokhyun,김록현,록현,2/10/1991,100%,South Korea,Suncheon,,M
Ron,Cheon Byeonghwa,천병화,론,1/22/1991,Bigflo,South Korea,,,M
Ros?,Roseanne Park,로잔느 박,로제,2/11/1997,BLACKPINK,South Korea,Auckland,,F
Rowoon,Kim Seokwoo,김석우,로운,8/7/1996,SF9,South Korea,,,M
Royeon,Jeon Hyunjoo,전현주,로연,2/20/1998,ANS,South Korea,,,F
Rubin,Lee Haejoon,이해준,루빈,8/16/1995,1TEAM,South Korea,,,M
Rui,Watanabe Rui,와타나베 루이,루이,10/8/1994,H.U.B,Japan,,,F
Ryeowook,Kim Ryeowook,김려욱,려욱,6/21/1987,Super Junior,South Korea,Incheon,Super Junior-M,M
Ryujin,Shin Ryujin,신류진,류진,4/17/2001,ITZY,South Korea,,,F
S.Coups,Choi Seungcheol,최승철,에스.쿱스,8/8/1995,Seventeen,South Korea,Daegu,,M
Saebom,Kim Saerok,김새록,새봄,1/30/1997,NATURE,South Korea,,,F
Saebom,Kim Seyoung,김세영,새봄,1/13/1995,Favorite,South Korea,Gwacheon,,F
Saebyeok,Shim Jaeyoung,심재영,새벽,11/9/1996,Ho1iday,South Korea,,,F
Saebyeol,Han Saebyeol,한새별,새별,5/23/1996,Matilda,South Korea,,,F
Saerom,Lee Saerom,이새롬,새롬,1/7/1997,fromis_9,South Korea,Gangwon,,F
Sakang,Jeon Sakang,정사강,사강,10/26/2002,TheEastLight,South Korea,,,M
Sakura,Miyawaki Sakura,미야와키 사쿠라,사쿠라,3/19/1998,IZ*ONE,Japan,Kagoshima,,F
Sally,Liu Xiening,류셰닝,샐리,10/23/1996,Gugudan,China,Guangdong,,F
Sam Kim,Samuel Kim,김사무엘,사무엘,1/17/2002,,South Korea,Los Angeles,,M
San,Choi San,최산,산,7/10/1999,ATEEZ,South Korea,,,M
Sana,Minatozaki Sana,미나토자키 사나,사나,12/29/1996,Twice,Japan,Osaka,,F
Sandeul,Lee Junghwan,이정환,산들,3/20/1992,B1A4,South Korea,Busan,,M
Sanga,Lee Sanga,이상아,상아,8/5/1999,Pink Fantasy,South Korea,,,F
Sangdo,Yoo Sangdo,유상도,상도,3/2/1993,Topp Dogg,South Korea,Incheon,,M
Sangho,Jo Sangho,조상호,상호,2/10/1995,SNUPER,South Korea,Changwon,,M
Sanghoon,Lee Sanghoon,이상훈,상훈,12/23/1993,,South Korea,Cheongju,,M
Sangil,Shim Sangil,심상일,상일,5/1/1993,SNUPER,South Korea,Seoul,,M
Sangmin,Kim Sangmin,김상민,상민,7/7/1992,CROSS GENE,South Korea,Jinju,,M
